dataset,num_qubits,seed,C,accuracy,mcc,f1_score,kernel_time
UNSW-NB15,6,456,50.0,0.8866666666666667,0.7616991864497672,0.8877035692489555,53.894712346140295
UNSW-NB15,6,456,100.0,0.8922222222222222,0.773808294714512,0.8932338692776018,53.894712346140295
UNSW-NB15,6,789,0.01,0.7133333333333334,0.5223730167877285,0.7152543042954002,53.9062686432153
UNSW-NB15,6,789,0.1,0.8633333333333333,0.7019339546519573,0.8581020855016164,53.9062686432153
UNSW-NB15,6,789,0.5,0.87,0.7193535793916914,0.8643571450151709,53.9062686432153
UNSW-NB15,6,789,1.0,0.8677777777777778,0.7136178642925227,0.8622113636845893,53.9062686432153
UNSW-NB15,6,789,2.0,0.8644444444444445,0.7043548863086594,0.8593400846289163,53.9062686432153
UNSW-NB15,6,789,5.0,0.87,0.7150934873512511,0.8662551440329217,53.9062686432153
UNSW-NB15,6,789,10.0,0.8677777777777778,0.7093454966497752,0.8645451498573603,53.9062686432153
UNSW-NB15,6,789,50.0,0.8711111111111111,0.7181919175453368,0.870369067738272,53.9062686432153
UNSW-NB15,6,789,100.0,0.8833333333333333,0.7549029003407607,0.8844284151974039,53.9062686432153
UNSW-NB15,6,1024,0.01,0.7311111111111112,0.5204010631831798,0.7353192840088877,57.862864293158054
UNSW-NB15,6,1024,0.1,0.8288888888888889,0.6489052881125327,0.8313535177941956,57.862864293158054
UNSW-NB15,6,1024,0.5,0.8377777777777777,0.6583588076635857,0.8393384895931586,57.862864293158054
UNSW-NB15,6,1024,1.0,0.85,0.6814587652484007,0.8511111111111112,57.862864293158054
UNSW-NB15,6,1024,2.0,0.8666666666666667,0.7141161151841616,0.8672506929124951,57.862864293158054
UNSW-NB15,6,1024,5.0,0.8733333333333333,0.7284382211154318,0.8738881582668703,57.862864293158054
UNSW-NB15,6,1024,10.0,0.8777777777777778,0.7394493944137276,0.8785203774637138,57.862864293158054
UNSW-NB15,6,1024,50.0,0.8733333333333333,0.7310057137223881,0.8742386150216184,57.862864293158054
UNSW-NB15,6,1024,100.0,0.8744444444444445,0.7353899032854432,0.8755630179907677,57.862864293158054
UNSW-NB15,6,2048,0.01,0.7144444444444444,0.5219590604047665,0.7165689861616195,54.28328414983116
UNSW-NB15,6,2048,0.1,0.8388888888888889,0.6776113861465519,0.8416020671834624,54.28328414983116
UNSW-NB15,6,2048,0.5,0.8466666666666667,0.6779395333149874,0.8482124319335326,54.28328414983116
UNSW-NB15,6,2048,1.0,0.8611111111111112,0.7024360683487126,0.8617597591629589,54.28328414983116
UNSW-NB15,6,2048,2.0,0.8688888888888889,0.717062924117608,0.869144659541001,54.28328414983116
UNSW-NB15,6,2048,5.0,0.8755555555555555,0.7314548207547947,0.8757983209202721,54.28328414983116
UNSW-NB15,6,2048,10.0,0.8766666666666667,0.7363176956988137,0.8773131086707309,54.28328414983116
UNSW-NB15,6,2048,50.0,0.8911111111111111,0.7705905867946083,0.8920547385620915,54.28328414983116
UNSW-NB15,6,2048,100.0,0.8955555555555555,0.7800569785791522,0.8964606676003736,54.28328414983116
UNSW-NB15,6,3072,0.01,0.7766666666666666,0.5937003429612492,0.7808388913257828,55.702232651179656
UNSW-NB15,6,3072,0.1,0.84,0.6843584482488662,0.842851373389022,55.702232651179656
UNSW-NB15,6,3072,0.5,0.8444444444444444,0.6916617671486046,0.8471528755743326,55.702232651179656
UNSW-NB15,6,3072,1.0,0.8444444444444444,0.6916617671486046,0.8471528755743326,55.702232651179656
UNSW-NB15,6,3072,2.0,0.8522222222222222,0.7027823177041855,0.8545967771103155,55.702232651179656
UNSW-NB15,6,3072,5.0,0.8822222222222222,0.7534555207815185,0.8834095491663366,55.702232651179656
UNSW-NB15,6,3072,10.0,0.8833333333333333,0.7561270864300704,0.8845358087757363,55.702232651179656
UNSW-NB15,6,3072,50.0,0.8844444444444445,0.7635944804465049,0.8859879916346218,55.702232651179656
UNSW-NB15,6,3072,100.0,0.8855555555555555,0.7648526774223775,0.887020166779496,55.702232651179656
UNSW-NB15,6,4096,0.01,0.7166666666666667,0.5285589262371541,0.7186357786357787,57.6548287558835
UNSW-NB15,6,4096,0.1,0.84,0.6794640694399605,0.842674936844051,57.6548287558835
UNSW-NB15,6,4096,0.5,0.8633333333333333,0.706706458048809,0.863891906806698,57.6548287558835
UNSW-NB15,6,4096,1.0,0.8577777777777778,0.6960782279309939,0.8585632033929785,57.6548287558835
UNSW-NB15,6,4096,2.0,0.8633333333333333,0.7072073322091945,0.8639716030163515,57.6548287558835
UNSW-NB15,6,4096,5.0,0.8633333333333333,0.7072073322091945,0.8639716030163515,57.6548287558835
UNSW-NB15,6,4096,10.0,0.8633333333333333,0.7077228337299277,0.8640496609594583,57.6548287558835
UNSW-NB15,6,4096,50.0,0.8688888888888889,0.7292797835231318,0.8705415929244447,57.6548287558835
UNSW-NB15,6,4096,100.0,0.8766666666666667,0.7468115424147854,0.8782914221505134,57.6548287558835
UNSW-NB15,6,5120,0.01,0.71,0.5296441899188691,0.7107766332188774,53.82105006207712
UNSW-NB15,6,5120,0.1,0.8344444444444444,0.6610298107281015,0.8368563380831987,53.82105006207712
UNSW-NB15,6,5120,0.5,0.8866666666666667,0.757356704062026,0.8821141470659541,53.82105006207712
UNSW-NB15,6,5120,1.0,0.8855555555555555,0.7544803612939053,0.8810310522935556,53.82105006207712
UNSW-NB15,6,5120,2.0,0.8844444444444445,0.7502297188153809,0.8803760817845887,53.82105006207712
UNSW-NB15,6,5120,5.0,0.8811111111111111,0.7398192096272481,0.8802873462191908,53.82105006207712
UNSW-NB15,6,5120,10.0,0.8733333333333333,0.7254849498327759,0.8733333333333333,53.82105006207712
UNSW-NB15,6,5120,50.0,0.8877777777777778,0.7611052681662809,0.8884901667358215,53.82105006207712
UNSW-NB15,6,5120,100.0,0.8888888888888888,0.7653024594837998,0.8897968054657278,53.82105006207712
UNSW-NB15,6,6144,0.01,0.7366666666666667,0.5656036711473459,0.7388764118087426,52.11267109611072
UNSW-NB15,6,6144,0.1,0.8711111111111111,0.7165848399009846,0.8684259259259258,52.11267109611072
UNSW-NB15,6,6144,0.5,0.8844444444444445,0.7473890592010078,0.881557882385697,52.11267109611072
UNSW-NB15,6,6144,1.0,0.8822222222222222,0.7419666937579441,0.8795278477657126,52.11267109611072
UNSW-NB15,6,6144,2.0,0.88,0.7367876338676937,0.877378282572524,52.11267109611072
UNSW-NB15,6,6144,5.0,0.8777777777777778,0.7389463795846039,0.8784527529158408,52.11267109611072
UNSW-NB15,6,6144,10.0,0.8811111111111111,0.7540538966469629,0.8825392174947825,52.11267109611072
UNSW-NB15,6,6144,50.0,0.8811111111111111,0.7507855417933181,0.8822824493833625,52.11267109611072
UNSW-NB15,6,6144,100.0,0.8766666666666667,0.742621538981291,0.8779925162327553,52.11267109611072
